countryId,totalConfirmed,totalByOnset,updateTime
US,1324488.0,,2020-09-19 20:19:56.775
US,1342594.0,,2020-09-19 20:19:56.775
US,1364061.0,,2020-09-19 20:19:56.775
US,1384930.0,,2020-09-19 20:19:56.775
US,1412121.0,,2020-09-19 20:19:56.775
US,1435098.0,,2020-09-19 20:19:56.775
US,1467065.0,,2020-09-19 20:19:56.775
US,1480349.0,,2020-09-19 20:19:56.775
US,1504830.0,,2020-09-19 20:19:56.775
US,1528235.0,,2020-09-19 20:19:56.775
US,1551095.0,,2020-09-19 20:19:56.775
US,1571617.0,,2020-09-19 20:19:56.775
US,1595885.0,,2020-09-19 20:19:56.776
US,1622114.0,,2020-09-19 20:19:56.776
US,1637456.0,,2020-09-19 20:19:56.776
US,1662414.0,,2020-09-19 20:19:56.776
US,1678843.0,,2020-09-19 20:19:56.776
US,1698523.0,,2020-09-19 20:19:56.776
US,1719827.0,,2020-09-19 20:19:56.776
US,1737950.0,,2020-09-19 20:19:56.776
US,1761503.0,,2020-09-19 20:19:56.776
US,1787680.0,,2020-09-19 20:19:56.776
US,1802470.0,,2020-09-19 20:19:56.776
US,1827425.0,,2020-09-19 20:19:56.776
US,1842101.0,,2020-09-19 20:19:56.776
US,1862656.0,,2020-09-19 20:19:56.776
US,1891690.0,,2020-09-19 20:19:56.776
US,1920904.0,,2020-09-19 20:19:56.776
US,1938823.0,,2020-09-19 20:19:56.776
US,1956421.0,,2020-09-19 20:19:56.776
US,1973797.0,,2020-09-19 20:19:56.776
US,1994283.0,,2020-09-19 20:19:56.776
US,2016027.0,,2020-09-19 20:19:56.776
US,2038344.0,,2020-09-19 20:19:56.776
US,2063812.0,,2020-09-19 20:19:56.776
US,2085769.0,,2020-09-19 20:19:56.776
US,2104346.0,,2020-09-19 20:19:56.776
US,2132738.0,,2020-09-19 20:19:56.776
US,2155572.0,,2020-09-19 20:19:56.776
US,2183400.0,,2020-09-19 20:19:56.776
US,2215618.0,,2020-09-19 20:19:56.776
US,2248029.0,,2020-09-19 20:19:56.776
US,2275645.0,,2020-09-19 20:19:56.776
US,2302302.0,,2020-09-19 20:19:56.776
US,2336615.0,,2020-09-19 20:19:56.776
US,2374282.0,,2020-09-19 20:19:56.776
US,2414870.0,,2020-09-19 20:19:56.776
US,2459472.0,,2020-09-19 20:19:56.776
US,2504175.0,,2020-09-19 20:19:56.776
US,2545565.0,,2020-09-19 20:19:56.776
US,2581229.0,,2020-09-19 20:19:56.776
US,2624873.0,,2020-09-19 20:19:56.776
US,2679230.0,,2020-09-19 20:19:56.776
US,2731960.0,,2020-09-19 20:19:56.776
US,2789678.0,,2020-09-19 20:19:56.776
US,2841906.0,,2020-09-19 20:19:56.776
US,2886267.0,,2020-09-19 20:19:56.776
US,2932596.0,,2020-09-19 20:19:56.776
US,2982900.0,,2020-09-19 20:19:56.776
US,3047671.0,,2020-09-19 20:19:56.776
US,3106931.0,,2020-09-19 20:19:56.776
US,3173212.0,,2020-09-19 20:19:56.776
US,3236130.0,,2020-09-19 20:19:56.776
US,3296599.0,,2020-09-19 20:19:56.776
US,3355457.0,,2020-09-19 20:19:56.776
US,3416428.0,,2020-09-19 20:19:56.776
US,3483832.0,,2020-09-19 20:19:56.776
US,3555877.0,,2020-09-19 20:19:56.776
US,3630587.0,,2020-09-19 20:19:56.776
US,3698161.0,,2020-09-19 20:19:56.776
US,3761362.0,,2020-09-19 20:19:56.776
US,3819139.0,,2020-09-19 20:19:56.776
US,3882167.0,,2020-09-19 20:19:56.776
US,3952273.0,,2020-09-19 20:19:56.776
US,4024492.0,,2020-09-19 20:19:56.776
US,4099310.0,,2020-09-19 20:19:56.776
US,4163892.0,,2020-09-19 20:19:56.776
US,4225687.0,,2020-09-19 20:19:56.776
US,4280135.0,,2020-09-19 20:19:56.776
US,4339997.0,,2020-09-19 20:19:56.776
US,4405932.0,,2020-09-19 20:19:56.776
US,4473974.0,,2020-09-19 20:19:56.776
US,4542579.0,,2020-09-19 20:19:56.776
US,4601526.0,,2020-09-19 20:19:56.776
US,4649102.0,,2020-09-19 20:19:56.776
US,4698818.0,,2020-09-19 20:19:56.776
US,4748806.0,,2020-09-19 20:19:56.776
US,4802491.0,,2020-09-19 20:19:56.776
US,4858327.0,,2020-09-19 20:19:56.776
US,4920369.0,,2020-09-19 20:19:56.776
US,4974959.0,,2020-09-19 20:19:56.776
US,5023649.0,,2020-09-19 20:19:56.776
US,5064171.0,,2020-09-19 20:19:56.776
US,5119711.0,,2020-09-19 20:19:56.776
US,5176018.0,,2020-09-19 20:19:56.776
US,5228817.0,,2020-09-19 20:19:56.776
US,5285546.0,,2020-09-19 20:19:56.776
US,5340232.0,,2020-09-19 20:19:56.776
US,5382125.0,,2020-09-19 20:19:56.776
US,5421111.0,,2020-09-19 20:19:56.776
US,5460429.0,,2020-09-19 20:19:56.776
US,5506929.0,,2020-09-19 20:19:56.776
US,5551793.0,,2020-09-19 20:19:56.776
US,5598547.0,,2020-09-19 20:19:56.776
US,5643812.0,,2020-09-19 20:19:56.776
US,5682491.0,,2020-09-19 20:19:56.776
US,5715567.0,,2020-09-19 20:19:56.776
US,5752653.0,,2020-09-19 20:19:56.776
US,5799046.0,,2020-09-19 20:19:56.776
